Title,Description,Ingredients,Directions,Link
Copycat Costco Chicken Bake,"This copycat Costco chicken bake is an easier, better home version of the iconic sandwich, a pizza crust filled with chicken strips, creamy Caesar dressing, Italian cheese, bacon, and green onion.","['1 pound prepared pizza dough', '3 skinless, boneless chicken breasts', '1 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '1 teaspoon garlic powder', '1 1/2 tablespoons olive oil', '3/4 cup water, or more as needed', '1 tablespoon all-purpose flour, or as needed for surface', '1/2 cup creamy Caesar dressing', '6 slices bacon, cooked and crumbled', '2 green onions, thinly sliced', '1 cup shredded Italian cheeses, such as mozzarella and provolone, divided', '3/4 cup shredded Parmesan cheese, divided', '1 large egg, beaten']","['Let pizza dough rest at room temperature for about 1 hour before using.', 'Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil, and lay bacon strips in a single layer on the sheet.', 'Bake in the preheated oven until browned and crisp, about 15 minutes. Drain bacon slices on paper towels. Crumble when cool enough to handle. Leave the oven on.', 'Season chicken with salt, pepper, and garlic powder.\xa0Heat a large ovenproof skillet over medium-high heat. Add oil. Place chicken breast in skillet, seasoned side down, and cook, undisturbed, until golden brown, about 5 minutes. Season the top side, flip, and cook 1 more minute. Add just enough water to fill the bottom of the pan and remove pan from heat.', 'Bake chicken in the preheated oven until an instant read thermometer, inserted near the center, reads 165 degrees F (74 degrees C), 17 to 20 minutes. Remove from heat and let stand until cool enough to handle. Chop chicken and set aside.', 'Increase the oven temperature to 400 degrees F (200 degrees C). Line a baking sheet with parchment.', 'Sprinkle flour onto a large work surface. Divide pizza dough into 3 portions. Roll each portion into a large circle about 12 to 13 inches wide. Spread dressing evenly over dough circles, leaving a 1-inch border. Sprinkle 2 tablespoons Parmesan cheese over dressing. Reserve 2 tablespoons shredded Italian cheese blend and set aside. Top dough circles evenly with chicken, bacon, green onions, and remaining Italian cheese blend. Fold outer left and right sides slightly over the filling. Roll the bottom of the dough circle over the filling and then roll towards the top edge until fully wrapped. Pinch edges to seal and use hands to work into a long log shape about 12 inches long. Place filled dough, seam side down, on the prepared baking sheet.', 'Brush beaten egg over tops of dough and sprinkle evenly with cheese blend. Sprinkle each with 1 tablespoon shredded Parmesan cheese.', 'Bake in the preheated oven until golden brown, about 20 minutes.']",https://www.allrecipes.com/copycat-costco-chicken-bake-recipe-8674763
These Copycat Choco Tacos Taste Just Like the Real Thing,"If Klondike won't bring back the ice cream truck treat, you can still make it at home.","['1/2 cup butter', '1/2 cup packed dark brown sugar', '1/2 cup egg whites', '1 1/2 teaspoons vanilla extract', '1/2 teaspoon salt, plus a pinch', '1/2 cup plus 1/8 cup flour', '1/4 cup water', 'vanilla fudge swirl ice cream', '1 cup semisweet chocolate chips', '1/3 cup coconut oil', '1/2 cup\xa0chopped\xa0unsalted peanuts']","[""Running down the street chasing after the\xa0ice cream truck is peak nostalgia. And chances are, if you weren't a SpongeBob kid, you were a Choco Taco kid. Either way, it was always worth the sprint and spare scrunched-up dollars in the end."", 'As we all know, Klondike sadly discontinued its widely beloved\xa0Choco Taco. An ice cream truck staple that was—yes, a waffle cone shaped like a taco—filled with vanilla fudge-swirl ice cream dipped in a delicate yet crunchy, peanut-chocolate hard shell.', 'In case the beloved ice cream truck treat never makes a comeback, this recipe produces a chocolate-covered ice cream taco that tastes just as good—if not better—from the comfort of your own kitchen.', ""First, you'll make the waffle cones shaped like tacos by browning waffle cone batter in a skillet—or cooking it in a waffle iron. Once browned, shape it into a taco by draping the hot cone over a hard-cover book lined with parchment paper and allowing it to cool and harden."", 'Then, mix up the chocolate hard shell by melting chocolate chips and coconut oil in the microwave. Once smooth, stir in the peanuts.', 'Fill each taco cone with store-bought ice cream and top with the peanut-chocolate mixture. Allow to freeze, then enjoy frozen.', 'Editorial contributions by Nea Arentzen and Bailey Fink', 'Gather all ingredients.', 'Stand a thin hard cover book up straight with the hard edge facing upwards. Drape a sheet of parchment across the book (this is what you will use to shape the shells). Line a plate with parchment paper.', 'Heat butter in a small saucepan over medium-low until melted, 2 to 3 minutes. Transfer the melted butter to a bowl, then whisk in brown sugar, egg whites, vanilla to taste, and 1/2 teaspoon salt. Add flour and water. Whisk until the batter is smooth and no clumps remain.', ""Heat a non-stick skillet over medium. Pour about 1 tablespoon batter into the pan; spread into a thin layer with a spoon. Cook until browned on the bottom and bubbles begin to form on top, 1 to 2 minutes. Flip and cook until browned on other side, 1 to 2 minutes more. Remove from pan and immediately drape over parchment-lined book, pressing to help form that taco shell shape. Transfer to a parchment-lined plate and repeat with remaining batter. Let cool completely before filling. Alternatively, preheat a waffle cone maker according to manufacturer's instructions. Pour batter into the preheated waffle maker and cook according to instructions. Remove from pan and immediately drape across the parchment-lined book. Let cool completely before filling."", 'Remove ice cream from the freezer and let soften for about 5 minutes.', 'Meanwhile, combine chocolate chips and coconut oil in a microwave-safe bowl; microwave in 30-second intervals, mixing well between each, until mixture is melted and smooth, 1 to 2 minutes. Stir in chopped peanuts.', 'Carefully fill the taco shells with the ice cream, pressing down gently to evenly distribute the ice cream to the edges. Repeat with the remaining taco shells. Place back on the parchment-lined plate.', 'Dip the top of each ice cream taco in the peanut-chocolate mixture to completely coat the exposed ice cream. Return to the parchment-lined plate. Repeat with the remaining tacos until all are dipped. Once chocolate has hardened, carefully place Choco Tacos in a sealable container or bag and return to freezer.']",https://www.allrecipes.com/copycat-choco-tacos-recipe-8660298
Limoncello Sunrise,This gorgeous limoncello sunrise cocktail mimics the stunning colors often found in a sunrise. Adding an orange slice and a maraschino cherry make it extra nice for a special occasion.,"['2 fluid ounces limoncello', '4 fluid ounces orange juice', '1 splash grenadine', 'ice cubes (optional)', '1 orange slice (optional)', '1 maraschino cherry (optional)']",['Add ice cubes to an Old Fashioned glass. Pour in limoncello and orange juice. Slowly pour in grenadine (It will sink to the bottom of the glass). Garnish with an orange slice and a maraschino cherry. Serve immediately.'],https://www.allrecipes.com/limoncello-sunrise-recipe-8673768
Hamburger Bun Bread Pudding,"This hamburger bread pudding, made from stale hamburger buns, is absolutely stellar. It is the most refined bread pudding ever--it has a light, luxe texture and features 3 secret ingredients (and a very good story).","['3 tablespoons softened butter', '8 stale brioche-style hamburger buns', '1 teaspoon sesame seeds', '5 large eggs', '1 cup white sugar', '2 tablespoons whiskey', '2 teaspoons vanilla extract', '1/2 teaspoon ground cinnamon', '1/4 teaspoon salt', '3 cups milk', '1 cup heavy cream', '1 teaspoon ketchup', '1 teaspoon mustard', '1 teaspoon mayonnaise', '1/3 cup golden raisins (optional)', '3 tablespoons butter', '1/4 cup whiskey', '1/4 cup brown sugar', '2 tablespoons water', '1 pinch salt']","['Butter a 9x12-inch or 9x13-inch baking dish with 3 tablespoons butter and set aside. If buns are not already stale and relatively dry, split them open and spread out on a baking sheet. Bake at 250 degrees F (120 degrees C) until very lightly toasted, about 20 minutes. Let cool.', 'For custard batter, combine eggs, white sugar, whiskey, vanilla, cinnamon, salt, milk, cream, ketchup, mustard, and mayonnaise in a bowl; whisk to combine.', 'Lay 6 bun bottoms into the prepared baking dish. Break last 2 bun bottoms and 1/2 of a top bun into large pieces and use pieces to fill in the gaps.', 'Ladle half of custard mixture over buns. Place 6 bun tops over bottom layer and use the last 1 1/2 top buns to fill in the center gap. Ladle remaining custard mixture over. Wrap and refrigerate for at least 3 hours or preferably up to 12 hours.', 'Preheat the oven to 350 degrees F (175 degrees C). Brush the tops of buns with some of the custard mixture and sprinkle with sesame seeds.', 'Bake in the preheated oven until buns are browned and puffed up, about 1 hour. Remove to cool on a wire rack.', 'For whiskey sauce, add butter, whiskey, brown sugar, water, and a pinch of salt to a small saucepan and bring to a boil over medium-high heat. Turn off heat and let cool before using. Sauce will thicken as it cools.']",https://www.allrecipes.com/hamburger-bun-bread-pudding-recipe-8674069
Feta and Spinach Stuffed Chicken Breasts,"These feta and spinach stuffed chicken breasts are bright, lemony, cheesy, and moist. A quick spice rub on the chicken makes a savory backdrop for the briny feta and spinach filling.","['4 (8 ounce) skinless, boneless chicken breasts', '2 teaspoons paprika', '1 teaspoon kosher salt', '1 teaspoon dried oregano', '1/2 teaspoon garlic powder', '1/2 teaspoon onion powder', '1/2 teaspoon freshly ground black pepper', '2 tablespoons olive oil', '1 (10 ounce) package frozen chopped spinach, thawed and squeezed dry', '2 ounces feta cheese\xa0in brine, crumbled', '2 tablespoons freshly squeezed lemon juice', '2 tablespoons finely chopped green onions', '1 tablespoon minced garlic', '1/2 teaspoon dried dill']","['Gather all ingredients.', 'Preheat the oven to 400 degrees F (200 degrees C). Pat chicken dry using paper towels. Cut a horizontal slit in the thickest part of each chicken breast to create a pocket, making sure not to cut all the way through.', 'Stir together paprika, salt, oregano, garlic powder, onion powder, pepper, and 1 tablespoon olive oil in a small bowl until combined. Rub chicken with paprika mixture until evenly coated.', 'Stir together spinach, feta, lemon juice, scallions, garlic, and dill in a medium bowl until blended. Stuff each pocket with 1/4 cup of the spinach mixture. Close pockets with wooden picks.', 'Heat remaining 1 tablespoon oil in a large cast-iron skillet over medium. Add chicken, and cook until spices toast and darken, 3 to 4 minutes per side.', 'Transfer skillet to preheated oven, and cook until an instant-read thermometer inserted into thickest portion of chicken registers 165 degrees F (74 degrees C), about 15 minutes. Remove and discard wooden picks.']",https://www.allrecipes.com/feta-and-spinach-stuffed-chicken-breasts-recipe-8653824
Buffalo Chicken Pizza Rolls,"These Buffalo chicken pizza rolls are filling little rolls—the perfect bite-sized appetizer or snack. The Buffalo sauce, chicken, and cheese ratio is ideal; it's not too saucy or overly spicy. The ranch butter brushed overtop adds another layer of herbaceous flavor that's a new spin on a classic combo.","['1/2 cup shredded cooked chicken', '2 ounces low-moisture part-skim mozzarella cheese, shredded (about 1/2 cup)', '2 1/2 tablespoons Buffalo-style hot sauce (such as Frank’s® RedHot)', '1 (13.8 ounce) can refrigerated pizza crust dough\xa0(such as Pillsbury®)', 'nonstick cooking spray', '2 tablespoons unsalted butter,\xa0melted', '1 teaspoon ranch dressing mix', 'ranch dressing or blue cheese dressing, for serving']","['Gather all ingredients.', 'Stir chicken, mozzarella, and hot sauce together in a small bowl until well combined; set aside.', 'Roll out dough on a lightly floured surface to a 6x20-inch rectangle using a rolling pin. Cut dough into 8 3x5-inch rectangles.', 'Brush edges of dough lightly with water. Place 1 tablespoon chicken mixture in the center of each rectangle. Roll dough over filling to form a 3 1/2x1 1/2-inch log. Pinch sides to seal. Transfer to a parchment-lined baking sheet.', 'Preheat an air fryer to 400 degrees F (200 degrees C) for 2 minutes. Lightly coat the air fryer basket with cooking spray. Working in batches, place pizza rolls around edges of air fryer basket in 1 layer, and cook until golden brown, about 7 minutes.', 'While pizza rolls are cooking, stir together melted butter and ranch dressing mix in a small bowl. Brush cooked pizza rolls with seasoned butter. Serve with ranch dressing, if desired.']",https://www.allrecipes.com/buffalo-chicken-pizza-rolls-recipe-8653775
Our 18 Favorite Peach Dessert Recipes,Make the most of peach season with these top-rated recipes,[],"[""If you love summer, then sweet, juicy peaches must be summer's way of loving you back. These top-rated peach desserts (and one delicious drink) will help you make the most of a glorious peach season. Enjoy!"", 'Fresh peaches are sliced and baked with a homemade streusel topping in this oats-free peach crisp. ""This recipe takes the simplicity of fresh peaches and turns them into a scrumptious dessert!"" says CLYN.', 'Fresh peaches and just three other ingredients combine for a cobbler that slow cooks to perfection. This is a perfect summer dessert with no oven required!', '""The kind of pie we dream about. Best peach pie I\'ve ever made."" – Leah', 'Fresh peach halves caramelize with brown sugar and nutmeg for this summery upside-down cake. ""Delicious! I also used buttermilk in place of regular milk. There was no bland cake here! It was perfectly sweet, with a lovely texture, and it really allowed the fresh peaches to shine through. I also love how quick it came together!"" – Kim', 'In an era of over-the-top ice cream styles, it\'s nearly impossible to find peach ice cream. Discover for yourself the glories of its simple peaches-and-cream flavor. ""Followed the recipe exactly as written. Best ice cream we have ever had! Will be making this again."" – Brad Voyles', '""If you\'re thinking of making peach (or blueberry) pie, don\'t—make these instead,"" says reviewer ohevshalomel. ""These bars are poetry in bakery. They\'re tender and sweet without being cloyingly sweet. They go great with vanilla ice cream. I may or may not have eaten all but one piece in a day.""', 'As easy as it is delicious! You can use fresh or canned peaches to get the classic Southern flavors of this fresh summer peach cobbler. ""Very, very yummy!"" raves MMCCLOREY. "" I used two bags of frozen peaches and it turned out VERY good! I\'m sure fresh Georgia peaches would be 100x better, but in the dead of winter frozen peaches worked fine.""', 'Sliced fresh peaches are sauteed in butter and then simmered with brown sugar, vanilla, and whiskey until the peaches are soft and the sauce is dark and delicious. ""Sweet peaches with a hint of whiskey,"" says MAGIRITARZ. ""Good as a side dish or on top of vanilla ice cream for a tasty dessert. Use a good quality whiskey for the best flavor.""', 'Here\'s an easy peach crisp that\'s not too sweet, which allows the natural taste of the peaches to really stand out. ""Very easy dessert with wholesome granola and oats for the topping,"" says BAJSHA, the recipe submitter. ""Not too sweet for those who prefer natural peach flavors. Good peaches make the difference, but you can use canned. Serve warm with fresh whipped cream.""', 'Puff pastry, apricot preserves, and fresh peaches are all you need! ""This simple 3-ingredient dessert will save the day when you need to whip up something quick but impressive at the last minute,"" says foodelicious. ""Substitute the peaches with any kind of fresh fruit, such as plums, nectarines, apples, or pears.', 'There are no shortcuts with this old-fashioned peach cobbler recipe. Fresh peach slices, flavored with lemon and orange juices, nutmeg, and cinnamon, are enclosed in a flaky homemade pastry. ""This is the best peach cobbler I have ever tasted!"" raves ILUVU. ""It reminds me of the pies my grampa would make. Kids love it.""', '""I’ve a bunch of peaches from the peach truck that I was trying to use when I stumbled upon this recipe. Having married a German, I hoped I could put a smile on hub’s face. This was Delish! It’s not too sweet, like most German kuchen."" –Saraschen', 'This rich and creamy bread pudding is made with French bread and fresh peaches and topped with a warm rum-caramel sauce. ""This is a wonderful variation from the plain old bread pudding,"" says smallpie2. ""I will definitely make it again. The caramel sauce is also great on other desserts.""', '""This peach cobbler is a lot crispier than a regular cobbler, and you can use the technique for other fruit cobblers. Serve warm with vanilla ice cream,"" says Chef John.', '""When you live in the Peach State, you take full advantage of those fresh juicy Georgia peaches when they are in season!"" says Kim\'s Cooking Now. ""If you love strawberry shortcake, and you love peaches, I\'m sure you\'re going to love this!""', '""Peach cobbler and cheesecake is an extraordinary combination,"" says lutzflcat. ""The peaches are bursting with sweet, fresh flavor, and the cheesecake filling is creamy and luscious. Together, they are divine!""', 'Peach fritters are a tasty way to enjoy summer peaches! ""Making fresh peach fritters with chunks of peaches in a peach batter instead of chunks of peaches in a plain batter changes everything,"" according to Chef John. ""These fritters are pure peach goodness. Serve with vanilla ice cream and an optional Bourbon simple syrup.""', 'This refreshing twist on the classic wine punch features white wine and peach vodka with slices of fresh white peaches and grapes. Always a hit at summer parties! JMARKER4 says, ""Made this for a 4th of July party and it was a huge hit! I had people desperately eating the fruit once the sangria was all gone!! We had to concoct a second batch.""', '""When choosing peaches, be sure that they do not have any green on the skin—this means the fruit hadn\'t developed before being picked."" –\xa0patreesha', '""I used fresh peaches and left the skins on for simplicity. They were barely noticeable the first night, but when I ate the leftovers they were kind of chewy and annoying."" –\xa0blessedmommy', '""To remove the skin from peaches try blanching them; 30-45 seconds in boiling hot water taken off the heat followed by 15 seconds in an ice bath (to keep the peach from continuing to cook)."" –\xa0Molly', '""If you don\'t have flavorful, in-season peaches then go with frozen peaches—they are better than tasteless, grainy, fresh ones."" –\xa0ripple2']",https://www.allrecipes.com/gallery/best-peach-dessert-recipes/
Chef John’s 8 Most Popular Ice Cream Recipes to Beat the Heat,Keep reading for our most-saved Chef John ice cream recipes.,[],"['It’s hot out and if you’re like us, you’re doing everything possible to stay as cool as you can. If that sounds like you, then you’ve come to the right place because we sifted through all of our favorite Chef John ice cream recipes to compile a list of the most popular, most-saved ice cream recipes. Between the best-ever strawberry ice cream and a dreamy ice cream sandwich, these recipes will keep you cool all summer long.', '""The ultimate home ice cream recipe. Didn\'t need to adjust any amounts, and it made enough for a party of 6 (with leftover). An absolute hit at our dinner party."" –\xa0McBoss', '""Chef John is my husband’s new hero. This was the best strawberry ice cream we have ever had. I made it just as the recipe said and it was perfect."" – Aunt Penelope', '""We thought this ice cream was delightful! The ice cream maker has been missing since our move, so I was thrilled to find a simple no-churn option. I am excited to try this method with a couple of other fruit flavors."" – Cls1012', '""Best ice cream recipe I’ve found!! I\'ve made it many times now. Freezes nice with wonderful “scoop ability”. I have also had fun with a few tweaks. I used brown sugar to deepen the color and give it a bit of a caramel flavor."" –\xa0Jackie', '""I\'ve searched for this recipe fir a long time. I recall my dad making this on special occasions when I was little. I remembered watching him and i remembered the ingredients but not the exact measurements. I tried on my own and came close but never quite got it. THIS WAS IT! Thank you, thank you, thank you. A delicious blast from my past."" –\xa0Jennifer Lachle', '""This was a hit! The cookie part is great and I will definitely make it again. Thanks so much!"" –\xa0Edikeman', '""Excellent! Chef John has never let me down. This recipe was so easy, thank you Chef John for sharing such an excellent recipe! I will be making this many times over!"" –\xa0Shorecook', '""Awesome! Super rich and silky. We’ve made other frozen custards but this was just golden and perfectly balanced."" –\xa0Aliea']",https://www.allrecipes.com/best-chef-john-ice-cream-recipes-8672733
Chef John's Strawberry Semifreddo,"My lighter, no-cook adaptation of semifreddo skips the traditional egg custard and cuts down on fat, sugar, and time. It just so happens to be lighter, with a cleaner, more distinct berry flavor and a texture that's less creamy than classic semifreddo, falling somewhere between strawberry ice cream and a strawberry ice pop.","['1 pound fresh strawberries', '½ cup white sugar', '¾ cup full-fat Greek yogurt', 'lemon, zested', '2 teaspoons fresh lemon juice', '⅛ teaspoon vanilla extract', '1 teaspoon aged balsamic vinegar (Optional)', '1 pinch salt', '1 ¾ cups cold heavy cream', '6  shortbread cookies', '3 tablespoons melted butter', '1 ½ cups diced fresh strawberries', '2 tablespoons white sugar, or more to taste']","['Line 10 ramekins with plastic wrap and place them onto a baking sheet.', 'Hull strawberries with the tip of a knife. Place strawberries in a food processor. Add sugar, Greek yogurt, lemon zest, lemon juice, vanilla extract, and balsamic vinegar. Sprinkle in a tiny pinch of salt. Pulse on and off to combine; finish pureeing on high until smooth.', 'Whisk heavy cream in a bowl until soft peaks form. Add the strawberry puree. Stir and fold with a spatula until most of the major streaks disappear. Fill ramekins 1/4 to 1/8 inch from the top with the strawberry mixture. Tap baking sheet against the counter to settle the tops. Cover ramekins in plastic wrap and freeze until mostly firm, about 1 1/2 hours.', 'Meanwhile, place cookies in a resealable plastic bag. Seal; crush cookies through with a rolling pin to get 1 1/2 cups of crumbs. Place crumbs into a bowl; add butter and mix well.', 'Divide the cookie crumb mixture among the ramekins and smooth out with the back of a spoon. Cover again and freeze until completely frozen, about 2 hours.', 'Toss diced strawberries with sugar in a bowl. Let rest at room temperature until a syrup forms below the strawberries, about 1 hour.', 'Warm up each ramekin in your hands to help unmold the semifreddo; invert onto a plate. Top with the strawberries in syrup. Thaw for 10 to 15 minutes before serving.', 'Use any kind of cookies crumbs you prefer or none at all.', 'If you have ice pop molds, this mixture would be perfect frozen on a stick.']",https://www.allrecipes.com/recipe/264320/chef-johns-strawberry-semifreddo/
Lemon Coconut Cake,"This lemon coconut cake features three layers of rich coconut cake, a lemon curd filling, and a delicious lemon cream cheese frosting.","['6 large egg yolks, at room temperature', '2/3 cup white sugar', '2 tablespoons fresh lemon zest', '3/4 cup freshly squeezed lemon juice', '1 pinch salt', '1/2 cup unsalted butter, cut into 8 pieces', '2 1/2 cups sweetened coconut flakes', '3 cups cake flour', '2 1/2 teaspoons baking powder', '1 teaspoon salt', '1/4 teaspoon ground nutmeg', '1 cup unsalted butter, softened', '1/4 cup vegetable oil', '1 1/2 cups white sugar', '1/2 cup sour cream, at room temperature', '2 tablespoons freshly squeezed lemon juice', '1 tablespoon vanilla extract', '1 cup full-fat coconut milk', '6 large egg whites, at room temperature', '1/4 teaspoon cream of tartar', '1/2 cup cold unsalted butter', '1 (8 ounce) package cold full-fat cream cheese', ""4 cups confectioner's sugar"", '1 1/2 teaspoons fresh lemon zest, or to taste', '1/2 teaspoon vanilla extract', '1/4 teaspoon salt, or to taste', '1 tablespoon chilled full-fat coconut milk', '1 1/2 cups toasted sweetened coconut flakes, or as needed']","['For lemon curd, add egg yolks, sugar, lemon zest, lemon juice, salt, and butter to a small non-reactive saucepan over medium-low heat. Cook, stirring constantly, until mixture begins to simmer and has thickened, 8 to 12 minutes. Pour mixture through a fine mesh sieve set over a bowl, using a spatula or wooden spoon to push the mixture through. Cover with a piece of plastic wrap directly touching the top of the curd, and refrigerate until chilled.', 'For cakes, preheat the oven to 350 degrees F (175 degrees C). Lightly grease 3 8-inch round cake pans, and line the bottoms with parchment paper.', 'Place coconut flakes into a food processor or blender, and pulse a few times until coconut flakes are finely chopped. Set aside.', 'Sift cake flour, baking powder, salt, and nutmeg together in a large bowl.', 'In a separate large bowl, beat butter, vegetable oil, and sugar together with an electric mixer until light and fluffy, 3 to 4 minutes. Add in sour cream, lemon juice, and vanilla and mix until thoroughly combined. Add in 1/2 of flour mixture and mix until just combined. Add in coconut milk and mix until just combined. Add in remaining flour mixture and mix until just combined.', 'In a separate clean bowl, combine egg whites and cream of tartar. With clean beaters, beat egg whites on medium-high speed until stiff peaks form, about 5 minutes. Add 1/3 of the egg white mixture into the batter, and fold just until no streaks of whites remain. Add in remaining egg white mixture and gently fold until no streaks of white remain. Divide batter evenly between the 3 prepared cake pans.', 'Bake in the preheated oven until tops of cakes spring back when lightly touched, 20 to 25 minutes. Allow cakes to cool in pans for 20 minutes before removing to a wire rack to cool completely.', 'For frosting, cut cold butter into 1/2-inch pieces. Place into a bowl. Starting on low speed, beat butter with an electric mixer until just loosened. Gradually increase the mixer speed, and beat butter until smooth, about 2 minutes. Add in cold cream cheese, and beat on medium-high speed until completely smooth and combined, about 3 minutes. Add in confectioner’s sugar; beat until thoroughly combined. Add in lemon zest, vanilla, and salt and mix until combined. Add in remaining confectioner’s sugar, 1 cup at a time, beating well after each addition. Add in 1 tablespoon cold coconut milk and beat mixture on medium-high speed for an additional 2 to 3 minutes. If frosting is a bit too soft to spread onto the cake layers, place it into the fridge for about 10 minutes, or until it is easier to use.', 'To assemble the cake, place one cake layer onto a cake plate or serving platter. Spread a thin layer of cream cheese frosting over the top of the cake. Pipe a ring of frosting around the top edge of the cake. Place about 2 tablespoons of lemon curd in the center of the frosting ring, and smooth into an even layer. Stack another cake layer on top of the first, and repeat the process of frosting and filling. When the last cake layer is stacked on top, frost the top and sides of the cake with a thin layer of frosting. Use your hands to press the toasted coconut flakes onto the sides of the cake. If desired, drizzle or swirl the top of cake with some of the extra lemon curd. Place cake into the fridge to chill for about 30 minutes before serving.']",https://www.allrecipes.com/lemon-coconut-cake-recipe-8665280
Chocolate Funfetti Cake,"Sprinkles make everything more fun—and this chocolate funfetti cake proves it! To make the cake layers easier to frost, I recommend carefully wrapping them in plastic wrap, then placing them either in the fridge or freezer until chilled.","['2 cups cake flour', '1 cup unsweetened cocoa powder', '1 tablespoon instant espresso powder (optional)', '1 teaspoon baking soda', '1 teaspoon baking powder', '1 teaspoon salt', '1 cup unsalted butter, softened', '1/4 cup vegetable oil', '2 cups firmly packed brown sugar', '3 large eggs, at room temperature', '1 tablespoon vanilla extract', '1 cup sour cream, at room temperature', '3/4 cup 2% milk, at room temperature', '3/4 cup rainbow jimmie sprinkles', '1/2 cup unsalted butter, softened', '12 ounces full fat cream cheese, at room temperature', ""4 1/2 cups confectioner's sugar"", '1 1/2 teaspoons vanilla extract', '1/4 teaspoon salt', '1/8 teaspoon almond extract', '2 tablespoons heavy cream, chilled', '1/3 cup rainbow jimmie sprinkles']","['Preheat the oven to 350 degrees F (175 degrees C). Spray 3 8-inch round cake pans with a baking spray containing flour, and line the bottoms of the pans with parchment paper.', 'For cake, sift together flour, cocoa powder, espresso powder, baking soda, baking powder, and salt. Set aside.', 'In a large bowl, beat together butter, vegetable oil, and brown sugar on medium-high speed until light and fluffy, 3 to 4 minutes. Add in eggs 1 at a time; beating well after each addition. Mix in vanilla. Add in half of the dry ingredients and mix until just combined. Add in sour cream and milk, and mix until just combined. Add in remaining dry ingredients and mix until just combined. Fold in sprinkles.', 'Divide batter evenly between pans. Gently tap pans on the counter a few times to remove larger air bubbles.', 'Bake in the preheated oven until tops of the cakes spring back lightly when touched, 30 to 35 minutes. Err on the side of slightly underbaking rather than overbaking. Allow cakes to cool in pans for 30 minutes before removing to a wire rack to cool completely.', 'For frosting, beat butter in a large bowl until smooth. Add in cream cheese and beat until smooth. Add in 1 cup of powdered sugar, 1 1/2 teaspoons vanilla, 1/4 teaspoon salt, and almond extract and mix until smooth. Add in remaining powdered sugar 1 cup at a time, mixing well after each addition. Add in chilled heavy cream and beat until frosting is light and fluffy, about 3 minutes on medium-high speed. Fold in sprinkles.', 'To assemble cake, place one cooled cake layer onto a serving platter. Top with a thin layer of the frosting. Continue layering and frosting remaining cake layers. Use remaining frosting to frost the top and outside of cake. Place cake into the fridge to chill for 30 minutes before serving.']",https://www.allrecipes.com/chocolate-funfetti-cake-recipe-8671609
Granola Cups,"These granola cups are a great grab-and-go breakfast option. You can tailor them to suit your own tastes—flavor them with the spices you prefer, swap out almonds for another nut, and use any kind of yogurt or fruit that you enjoy. For best results, wait until just before serving to fill them with yogurt.","['1/4 cup unsalted butter', '1/2 cup pure maple syrup', '1 teaspoon vanilla extract', '1/2 teaspoon ground cinnamon', '1/4 teaspoon salt, or to taste', '1/4 teaspoon ground nutmeg', '2 cups old fashioned oats', '1/2 cup sliced almonds', '1/2 cup sweetened flaked coconut', '2 tablespoons flax meal', ""nonstick baking spray with flour (such as Baker's Joy®)"", '1 cup plain whole milk Greek yogurt, or as needed', '1 cup fresh berries, or as needed']","['Place butter and maple syrup in a large bowl and place into the microwave. Heat in 30 second intervals, stirring after every 30 seconds, until butter is melted, about 1 to 1 1/2 minutes. Remove bowl from microwave and add in vanilla, cinnamon, salt, and nutmeg. Stir until thoroughly combined. Add in oats, almonds, coconut, and flax meal. Stir until mixture is thoroughly combined.', 'Generously grease a standard muffin tin with nonstick baking spray with flour.', 'Divide oat mixture evenly between the muffin cups, about 2 heaped tablespoons per cup. With wet hands, press mixture into the bottom and up the sides of each cup. Place the pan into the fridge to chill for 15 minutes.', 'Preheat the oven to 350 degrees F (175 degrees C).', 'Bake chilled granola cups in the preheated oven until the outside edges of cups turn golden brown,\xa0 25 to 30 minutes. Remove cups from the oven; cool to room temperature in the pan, about 30 minutes.', 'Use an offset spatula or butter knife to pop them out of the pan. To serve, fill each granola cup with yogurt and top with berries. Serve immediately.']",https://www.allrecipes.com/granola-cups-recipe-8669258
4-Ingredient Hamburger Casserole,"This 4-ingredient hamburger casserole is so comforting and easy to make, and leaves plenty of room for you to doctor it up as you see fit.","['8 ounces pasta', '1 pound ground beef', 'salt, freshly ground black pepper, and garlic powder, to taste', '10 ounces tomato soup, canned or homemade', '8 to 10 ounces shredded mozzarella cheese, divided']","['Preheat the oven to 350 degrees F (175 degrees C).', 'Fill a large pot with lightly salted water and bring to a rolling boil. Stir in pasta and return to a boil. Cook, uncovered, stirring occasionally, until tender yet firm to the bite, about 10 minutes. Drain pasta, reserving about 2 tablespoons pasta water.', 'Meanwhile, heat a large skillet over medium-high heat. Cook and stir ground beef in the hot skillet until browned and crumbly, 5 to 7 minutes; season with salt, pepper, and garlic powder. Drain and discard grease.', 'Place ground beef in a large round casserole dish. Add pasta on top; sprinkle with half the cheese. Pour tomato soup on top; add reserved pasta water and stir everything together well. Cover with foil.', 'Bake in the preheated oven, covered, for 15 minutes. Uncover and sprinkle remaining cheese on top. Bake, uncovered, 10 minutes more.', 'Turn on the oven’s broiler and set a rack 6 inches from the heat source. Broil casserole until cheese is browned, about 2 minutes. Remove from the oven and serve.']",https://www.allrecipes.com/4-ingredient-hamburger-casserole-recipe-8671683
